building_function,gebaeude_1,heat_factor
3240,Gebäude für Kurbetrieb,1
2742,,1
3271,Empfangsgebäude des botanischen Gartens,1
2443,Betriebsgebäude zur Schleuse,0
3281,Schutzhütte,0
2421,Bahnwärterhaus,1
2211,Windmühle,0
3097,Gebäude zum Busbahnhof,1
3261,Empfangsgebäude des Zoos,1
1220,Land- und forstwirtschaftliches Wohn- und Betriebsgebäude,1
1311,Ferienhaus,1
3046,,1
2727,Stall für Tiergroßhaltung,1
2412,Wartehalle,1
2560,Gebäude an unterirdischen Leitungen,1
2440,Betriebsgebäude für Schiffsverkehr,1
1210,Land- und forstwirtschaftliches Wohngebäude,1
2726,Scheune und Stall,0
2591,Pumpwerk (nicht für Wasserversorgung),1
3270,Gebäude im botanischen Garten,1
3241,Badegebäude für medizinische Zwecke,1
2411,Straßenmeisterei,1
1223,Forsthaus,1
2074,Campingplatzgebäude,0
3262,"Aquarium, Terrarium, Voliere",1
2180,Gebäude für betriebliche Sozialeinrichtung,1
3081,Trauerhalle,1
3272,Gewächshaus (Botanik),1
2612,Toilette,0
2055,Kiosk,1
1025,Schullandheim,1
3273,Pflanzenschauhaus,1
2513,Wasserbehälter,1
2094,Spielkasino,1
3042,Synagoge,1
3264,Stall im Zoo,1
3100,Gebäude für öffentliche Zwecke mit Wohnen,1
2571,Gaswerk,1
3082,Krematorium,1
2700,Gebäude für Land- und Forstwirtschaft,1
2424,Betriebsgebäude des Güterbahnhofs,1
2441,Werft (Halle),1
2072,Jugendherberge,1
3220,Badegebäude,1
2720,Land- und forstwirtschaftliches Betriebsgebäude,1
2721,Scheune,1
3080,Friedhofsgebäude,1
3074,Schutzbunker,1
2423,"Stellwerk, Blockstelle",1
2091,Festsaal,1
2410,Betriebsgebäude für Straßenverkehr,1
3222,Gebäude im Freibad,1
2080,Gebäude für Bewirtung,1
2093,"Kegel-, Bowlinghalle",1
2512,Pumpstation,1
3260,Gebäude im Zoo,1
2070,Gebäude für Beherbergung,1
3263,Tierschauhaus,1
2430,Betriebsgebäude für Flugverkehr,1
3064,Obdachlosenheim,1
2444,Bootshaus,1
3014,Zollamt,1
3033,Konzertgebäude,1
3043,Kapelle,1
2611,Gebäude der Kläranlage,1
2431,Flugzeughalle,1
3094,Gebäude zum U-Bahnhof,1
3045,Gotteshaus,1
3031,Schloss,1
2400,Betriebsgebäude zu Verkehrsanlagen (allgemein),1
3095,Gebäude zum S-Bahnhof,1
2083,Kantine,1
2610,Gebäude zur Abwasserbeseitigung,1
1100,Gemischt genutztes Gebäude mit Wohnen,1
2620,Gebäude zur Abfallbehandlung,1
3200,Gebäude für Erholungszwecke,1
2510,Gebäude zur Wasserversorgung,1
3062,"Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus",1
2150,Speditionsgebäude,1
2724,Stall,1
3090,Empfangsgebäude,1
1310,Gebäude zur Freizeitgestaltung,1
2320,Gebäude für Gewerbe und Industrie mit Wohnen,1
2130,Tankstelle,1
2141,Kühlhaus,1
2600,Gebäude zur Entsorgung,1
1021,Kinderheim,1
1110,Wohngebäude mit Gemeinbedarf,1
1313,Gartenhaus,1
3063,Seniorenfreizeitstätte,1
2422,"Lokschuppen, Wagenhalle",1
2511,Wasserwerk,1
2090,Freizeit- und Vergnügungsstätte,1
2523,Umformer,1
2622,Gebäude zur Müllverbrennung,1
2460,Gebäude zum Parken,1
2053,Markthalle,1
2092,Kino,1
3070,Gebäude für Sicherheit und Ordnung,1
2464,Fahrzeughalle,1
1130,Wohngebäude mit Gewerbe und Industrie,1
3212,Gebäude zum Sportplatz,1
3061,Jugendfreizeitheim,1
2420,Betriebsgebäude für Schienenverkehr,1
2621,Müllbunker,0
2081,"Gaststätte, Restaurant",1
3072,Feuerwehr,1
3000,Gebäude für öffentliche Zwecke,1
1023,Schwesternwohnheim,1
3075,Justizvollzugsanstalt,1
2500,Gebäude zur Versorgung,1
2522,Umspannwerk,1
1020,Wohnheim,1
3013,Post,1
2741,Treibhaus,1
3040,Gebäude fuer religiöse Zwecke,1
2580,Heizwerk,1
3221,Hallenbad,1
3044,Gemeindehaus,1
3037,"Bibliothek, Bücherei",1
1024,"Studenten-, Schülerwohnheim",1
3030,Gebäude für kulturelle Zwecke,1
2540,Gebäude für Fernmeldewesen,1
3210,Gebäude für Sportzwecke,1
3015,Gericht,1
3091,Bahnhofsgebäude,1
3035,"Rundfunk, Fernsehen",1
3016,"Botschaft, Konsulat",1
3036,Veranstaltungsgebäude,1
3073,Kaserne,1
3032,"Theater, Oper",1
3060,Gebäude für soziale Zwecke,1
3011,Parlament,1
2723,Schuppen,0
2160,Gebäude für Forschungszwecke,1
3052,"Heilanstalt, Pflegeanstalt, Pflegestation",1
2140,Gebäude für Vorratshaltung,1
2310,Gebäude für Handel und Dienstleistung mit Wohnen,1
1312,Wochenendhaus,0
3012,Rathaus,1
2520,Gebäude zur Elektrizitätsversorgung,1
3034,Museum,1
3050,Gebäude für Gesundheitswesen,1
3071,Polizei,1
2030,Kreditinstitut,1
2521,Elektrizitätswerk,1
3020,Gebäude für Bildung und Forschung,1
1000,Wohngebäude,1
3041,Kirche,1
3092,Flughafengebäude,1
3022,Berufsbildende Schule,1
2060,Messehalle,1
