,temp_air
2013-01-01 00:00:00+01:00,273.819
2013-01-01 01:00:00+01:00,273.954
2013-01-01 02:00:00+01:00,273.991
2013-01-01 03:00:00+01:00,274.024
2013-01-01 04:00:00+01:00,274.038
2013-01-01 05:00:00+01:00,273.992
2013-01-01 06:00:00+01:00,273.998
2013-01-01 07:00:00+01:00,274.067
2013-01-01 08:00:00+01:00,274.471
2013-01-01 09:00:00+01:00,275.292
2013-01-01 10:00:00+01:00,276.137
2013-01-01 11:00:00+01:00,276.768
2013-01-01 12:00:00+01:00,276.947
2013-01-01 13:00:00+01:00,276.758
2013-01-01 14:00:00+01:00,276.579
2013-01-01 15:00:00+01:00,276.394
2013-01-01 16:00:00+01:00,276.267
2013-01-01 17:00:00+01:00,276.248
2013-01-01 18:00:00+01:00,276.144
2013-01-01 19:00:00+01:00,276.02
2013-01-01 20:00:00+01:00,275.966
2013-01-01 21:00:00+01:00,275.99
2013-01-01 22:00:00+01:00,275.941
2013-01-01 23:00:00+01:00,275.243
2013-01-02 00:00:00+01:00,274.222
2013-01-02 01:00:00+01:00,273.591
2013-01-02 02:00:00+01:00,273.385
2013-01-02 03:00:00+01:00,273.363
2013-01-02 04:00:00+01:00,273.345
2013-01-02 05:00:00+01:00,273.208
2013-01-02 06:00:00+01:00,273.153
2013-01-02 07:00:00+01:00,273.156
2013-01-02 08:00:00+01:00,273.196
2013-01-02 09:00:00+01:00,273.55
2013-01-02 10:00:00+01:00,273.638
2013-01-02 11:00:00+01:00,273.803
2013-01-02 12:00:00+01:00,273.986
2013-01-02 13:00:00+01:00,273.865
2013-01-02 14:00:00+01:00,273.773
2013-01-02 15:00:00+01:00,273.512
2013-01-02 16:00:00+01:00,273.263
2013-01-02 17:00:00+01:00,273.15
2013-01-02 18:00:00+01:00,273.083
2013-01-02 19:00:00+01:00,273.017
2013-01-02 20:00:00+01:00,272.978
2013-01-02 21:00:00+01:00,272.941
2013-01-02 22:00:00+01:00,272.704
2013-01-02 23:00:00+01:00,272.454
2013-01-03 00:00:00+01:00,272.315
2013-01-03 01:00:00+01:00,272.21
2013-01-03 02:00:00+01:00,272.146
2013-01-03 03:00:00+01:00,272.104
2013-01-03 04:00:00+01:00,272.349
2013-01-03 05:00:00+01:00,272.513
2013-01-03 06:00:00+01:00,272.633
2013-01-03 07:00:00+01:00,272.763
2013-01-03 08:00:00+01:00,272.883
2013-01-03 09:00:00+01:00,273.039
2013-01-03 10:00:00+01:00,273.194
2013-01-03 11:00:00+01:00,273.361
2013-01-03 12:00:00+01:00,273.486
2013-01-03 13:00:00+01:00,273.464
2013-01-03 14:00:00+01:00,273.758
2013-01-03 15:00:00+01:00,273.839
2013-01-03 16:00:00+01:00,273.979
2013-01-03 17:00:00+01:00,274.126
2013-01-03 18:00:00+01:00,274.248
2013-01-03 19:00:00+01:00,274.437
2013-01-03 20:00:00+01:00,274.866
2013-01-03 21:00:00+01:00,275.136
2013-01-03 22:00:00+01:00,275.457
2013-01-03 23:00:00+01:00,275.821
2013-01-04 00:00:00+01:00,276.16
2013-01-04 01:00:00+01:00,276.435
2013-01-04 02:00:00+01:00,276.654
2013-01-04 03:00:00+01:00,276.868
2013-01-04 04:00:00+01:00,276.974
2013-01-04 05:00:00+01:00,277.02
2013-01-04 06:00:00+01:00,277.051
2013-01-04 07:00:00+01:00,277.099
2013-01-04 08:00:00+01:00,277.244
2013-01-04 09:00:00+01:00,277.611
2013-01-04 10:00:00+01:00,277.935
2013-01-04 11:00:00+01:00,278.193
2013-01-04 12:00:00+01:00,278.41
2013-01-04 13:00:00+01:00,278.546
2013-01-04 14:00:00+01:00,278.736
2013-01-04 15:00:00+01:00,278.797
2013-01-04 16:00:00+01:00,278.769
2013-01-04 17:00:00+01:00,278.812
2013-01-04 18:00:00+01:00,278.948
2013-01-04 19:00:00+01:00,279.076
2013-01-04 20:00:00+01:00,279.203
2013-01-04 21:00:00+01:00,279.282
2013-01-04 22:00:00+01:00,279.352
2013-01-04 23:00:00+01:00,279.498
2013-01-05 00:00:00+01:00,279.64
2013-01-05 01:00:00+01:00,279.722
2013-01-05 02:00:00+01:00,279.723
2013-01-05 03:00:00+01:00,279.636
2013-01-05 04:00:00+01:00,279.502
2013-01-05 05:00:00+01:00,279.17
2013-01-05 06:00:00+01:00,278.767
2013-01-05 07:00:00+01:00,278.428
2013-01-05 08:00:00+01:00,278.124
2013-01-05 09:00:00+01:00,277.917
2013-01-05 10:00:00+01:00,277.794
2013-01-05 11:00:00+01:00,277.737
2013-01-05 12:00:00+01:00,277.692
2013-01-05 13:00:00+01:00,277.682
2013-01-05 14:00:00+01:00,277.734
2013-01-05 15:00:00+01:00,277.787
2013-01-05 16:00:00+01:00,277.735
2013-01-05 17:00:00+01:00,277.708
2013-01-05 18:00:00+01:00,277.657
2013-01-05 19:00:00+01:00,277.606
2013-01-05 20:00:00+01:00,277.527
2013-01-05 21:00:00+01:00,277.47
2013-01-05 22:00:00+01:00,277.386
2013-01-05 23:00:00+01:00,277.276
2013-01-06 00:00:00+01:00,277.171
2013-01-06 01:00:00+01:00,277.059
2013-01-06 02:00:00+01:00,276.933
2013-01-06 03:00:00+01:00,276.79
2013-01-06 04:00:00+01:00,276.656
2013-01-06 05:00:00+01:00,276.491
2013-01-06 06:00:00+01:00,276.296
2013-01-06 07:00:00+01:00,276.062
2013-01-06 08:00:00+01:00,275.889
2013-01-06 09:00:00+01:00,275.726
2013-01-06 10:00:00+01:00,275.591
2013-01-06 11:00:00+01:00,275.469
2013-01-06 12:00:00+01:00,275.388
2013-01-06 13:00:00+01:00,275.265
2013-01-06 14:00:00+01:00,275.209
2013-01-06 15:00:00+01:00,275.158
2013-01-06 16:00:00+01:00,275.153
2013-01-06 17:00:00+01:00,275.15
2013-01-06 18:00:00+01:00,275.167
2013-01-06 19:00:00+01:00,275.26
2013-01-06 20:00:00+01:00,275.449
2013-01-06 21:00:00+01:00,275.679
2013-01-06 22:00:00+01:00,275.892
2013-01-06 23:00:00+01:00,276.06
2013-01-07 00:00:00+01:00,276.18
2013-01-07 01:00:00+01:00,276.276
2013-01-07 02:00:00+01:00,276.333
2013-01-07 03:00:00+01:00,276.357
2013-01-07 04:00:00+01:00,276.395
2013-01-07 05:00:00+01:00,276.433
2013-01-07 06:00:00+01:00,276.453
2013-01-07 07:00:00+01:00,276.431
2013-01-07 08:00:00+01:00,276.427
2013-01-07 09:00:00+01:00,276.68
2013-01-07 10:00:00+01:00,276.924
2013-01-07 11:00:00+01:00,277.062
2013-01-07 12:00:00+01:00,277.192
2013-01-07 13:00:00+01:00,277.308
2013-01-07 14:00:00+01:00,277.362
2013-01-07 15:00:00+01:00,277.252
2013-01-07 16:00:00+01:00,277.05
2013-01-07 17:00:00+01:00,276.875
2013-01-07 18:00:00+01:00,276.786
2013-01-07 19:00:00+01:00,276.684
2013-01-07 20:00:00+01:00,276.578
2013-01-07 21:00:00+01:00,276.504
2013-01-07 22:00:00+01:00,276.487
2013-01-07 23:00:00+01:00,276.406
2013-01-08 00:00:00+01:00,276.361
2013-01-08 01:00:00+01:00,276.185
2013-01-08 02:00:00+01:00,276.05
2013-01-08 03:00:00+01:00,275.908
2013-01-08 04:00:00+01:00,275.668
2013-01-08 05:00:00+01:00,275.445
2013-01-08 06:00:00+01:00,275.175
2013-01-08 07:00:00+01:00,275.074
2013-01-08 08:00:00+01:00,275.153
2013-01-08 09:00:00+01:00,275.643
2013-01-08 10:00:00+01:00,276.253
2013-01-08 11:00:00+01:00,276.906
2013-01-08 12:00:00+01:00,277.331
2013-01-08 13:00:00+01:00,277.393
2013-01-08 14:00:00+01:00,277.338
2013-01-08 15:00:00+01:00,276.909
2013-01-08 16:00:00+01:00,275.967
2013-01-08 17:00:00+01:00,275.479
2013-01-08 18:00:00+01:00,275.227
2013-01-08 19:00:00+01:00,275.185
2013-01-08 20:00:00+01:00,275.318
2013-01-08 21:00:00+01:00,275.149
2013-01-08 22:00:00+01:00,274.803
2013-01-08 23:00:00+01:00,274.616
2013-01-09 00:00:00+01:00,274.56
2013-01-09 01:00:00+01:00,274.793
2013-01-09 02:00:00+01:00,274.875
2013-01-09 03:00:00+01:00,275.012
2013-01-09 04:00:00+01:00,275.078
2013-01-09 05:00:00+01:00,275.033
2013-01-09 06:00:00+01:00,275.094
2013-01-09 07:00:00+01:00,275.131
2013-01-09 08:00:00+01:00,275.15
2013-01-09 09:00:00+01:00,275.418
2013-01-09 10:00:00+01:00,276.201
2013-01-09 11:00:00+01:00,277.058
2013-01-09 12:00:00+01:00,277.658
2013-01-09 13:00:00+01:00,277.909
2013-01-09 14:00:00+01:00,277.708
2013-01-09 15:00:00+01:00,276.985
2013-01-09 16:00:00+01:00,276.079
2013-01-09 17:00:00+01:00,275.597
2013-01-09 18:00:00+01:00,275.275
2013-01-09 19:00:00+01:00,275.007
2013-01-09 20:00:00+01:00,274.858
2013-01-09 21:00:00+01:00,274.808
2013-01-09 22:00:00+01:00,274.708
2013-01-09 23:00:00+01:00,274.565
2013-01-10 00:00:00+01:00,274.438
2013-01-10 01:00:00+01:00,274.297
2013-01-10 02:00:00+01:00,273.949
2013-01-10 03:00:00+01:00,273.918
2013-01-10 04:00:00+01:00,274.005
2013-01-10 05:00:00+01:00,273.918
2013-01-10 06:00:00+01:00,273.655
2013-01-10 07:00:00+01:00,273.533
2013-01-10 08:00:00+01:00,273.503
2013-01-10 09:00:00+01:00,273.565
2013-01-10 10:00:00+01:00,273.712
2013-01-10 11:00:00+01:00,273.923
2013-01-10 12:00:00+01:00,274.156
2013-01-10 13:00:00+01:00,273.978
2013-01-10 14:00:00+01:00,273.775
2013-01-10 15:00:00+01:00,273.656
2013-01-10 16:00:00+01:00,273.555
2013-01-10 17:00:00+01:00,273.517
2013-01-10 18:00:00+01:00,273.443
2013-01-10 19:00:00+01:00,273.346
2013-01-10 20:00:00+01:00,273.266
2013-01-10 21:00:00+01:00,273.295
2013-01-10 22:00:00+01:00,273.324
2013-01-10 23:00:00+01:00,273.416
2013-01-11 00:00:00+01:00,273.449
2013-01-11 01:00:00+01:00,273.467
2013-01-11 02:00:00+01:00,273.491
2013-01-11 03:00:00+01:00,273.522
2013-01-11 04:00:00+01:00,273.517
2013-01-11 05:00:00+01:00,273.403
2013-01-11 06:00:00+01:00,273.206
2013-01-11 07:00:00+01:00,273.125
2013-01-11 08:00:00+01:00,273.055
2013-01-11 09:00:00+01:00,272.953
2013-01-11 10:00:00+01:00,272.815
2013-01-11 11:00:00+01:00,272.678
2013-01-11 12:00:00+01:00,272.518
2013-01-11 13:00:00+01:00,272.323
2013-01-11 14:00:00+01:00,272.15
2013-01-11 15:00:00+01:00,271.599
2013-01-11 16:00:00+01:00,271.021
2013-01-11 17:00:00+01:00,270.835
2013-01-11 18:00:00+01:00,270.733
2013-01-11 19:00:00+01:00,270.644
2013-01-11 20:00:00+01:00,270.545
2013-01-11 21:00:00+01:00,270.394
2013-01-11 22:00:00+01:00,270.194
2013-01-11 23:00:00+01:00,269.749
2013-01-12 00:00:00+01:00,269.561
2013-01-12 01:00:00+01:00,269.508
2013-01-12 02:00:00+01:00,269.486
2013-01-12 03:00:00+01:00,269.416
2013-01-12 04:00:00+01:00,269.342
2013-01-12 05:00:00+01:00,269.279
2013-01-12 06:00:00+01:00,269.187
2013-01-12 07:00:00+01:00,269.127
2013-01-12 08:00:00+01:00,269.134
2013-01-12 09:00:00+01:00,269.443
2013-01-12 10:00:00+01:00,269.874
2013-01-12 11:00:00+01:00,270.283
2013-01-12 12:00:00+01:00,270.576
2013-01-12 13:00:00+01:00,270.768
2013-01-12 14:00:00+01:00,270.853
2013-01-12 15:00:00+01:00,270.692
2013-01-12 16:00:00+01:00,270.401
2013-01-12 17:00:00+01:00,270.251
2013-01-12 18:00:00+01:00,270.2
2013-01-12 19:00:00+01:00,270.18
2013-01-12 20:00:00+01:00,270.106
2013-01-12 21:00:00+01:00,269.955
