timestep,temp_air
1,0.67
2,0.80
3,0.84
4,0.87
5,0.89
6,0.84
7,0.85
8,0.92
9,1.32
10,2.14
11,2.99
12,3.62
13,3.80
14,3.61
15,3.43
16,3.24
17,3.12
18,3.10
19,2.99
20,2.87
21,2.82
22,2.84
23,2.79
24,2.09
25,1.07
26,0.44
27,0.24
28,0.21
29,0.20
30,0.06
31,0.00
32,0.01
33,0.05
34,0.40
35,0.49
36,0.65
37,0.84
38,0.72
39,0.62
40,0.36
41,0.11
42,0.00
43,-0.07
44,-0.13
45,-0.17
46,-0.21
47,-0.45
48,-0.70
49,-0.83
50,-0.94
51,-1.00
52,-1.05
53,-0.80
54,-0.64
55,-0.52
56,-0.39
57,-0.27
58,-0.11
59,0.04
60,0.21
61,0.34
62,0.31
63,0.61
64,0.69
65,0.83
66,0.98
67,1.10
68,1.29
69,1.72
70,1.99
71,2.31
72,2.67
73,3.01
74,3.29
75,3.50
76,3.72
77,3.82
78,3.87
79,3.90
80,3.95
81,4.09
82,4.46
83,4.79
84,5.04
85,5.26
86,5.40
87,5.59
88,5.65
89,5.62
90,5.66
91,5.80
92,5.93
93,6.05
94,6.13
95,6.20
96,6.35
97,6.49
98,6.57
99,6.57
100,6.49
101,6.35
102,6.02
103,5.62
104,5.28
105,4.97
106,4.77
107,4.64
108,4.59
109,4.54
110,4.53
111,4.58
112,4.64
113,4.59
114,4.56
115,4.51
116,4.46
117,4.38
118,4.32
119,4.24
120,4.13
121,4.02
122,3.91
123,3.78
124,3.64
125,3.51
126,3.34
127,3.15
128,2.91
129,2.74
130,2.58
131,2.44
132,2.32
133,2.24
134,2.12
135,2.06
136,2.01
137,2.00
138,2.00
139,2.02
140,2.11
141,2.30
142,2.53
143,2.74
144,2.91
145,3.03
146,3.13
147,3.18
148,3.21
149,3.25
150,3.28
151,3.30
152,3.28
153,3.28
154,3.53
155,3.77
156,3.91
157,4.04
158,4.16
159,4.21
160,4.10
161,3.90
162,3.73
163,3.64
164,3.53
165,3.43
166,3.35
167,3.34
168,3.26
169,3.21
170,3.04
171,2.90
172,2.76
173,2.52
174,2.30
175,2.03
176,1.92
177,2.00
178,2.49
179,3.10
180,3.76
181,4.18
182,4.24
183,4.19
184,3.76
185,2.82
186,2.33
187,2.08
188,2.04
189,2.17
190,2.00
191,1.65
192,1.47
193,1.41
194,1.64
195,1.73
196,1.86
197,1.93
198,1.88
199,1.94
200,1.98
201,2.00
202,2.27
203,3.05
204,3.91
205,4.51
206,4.76
207,4.56
208,3.84
209,2.93
210,2.45
211,2.13
212,1.86
213,1.71
214,1.66
215,1.56
216,1.42
217,1.29
218,1.15
219,0.80
220,0.77
221,0.86
222,0.77
223,0.50
224,0.38
225,0.35
226,0.42
227,0.56
228,0.77
229,1.01
230,0.83
231,0.63
232,0.51
233,0.41
234,0.37
235,0.29
236,0.20
237,0.12
238,0.15
239,0.17
240,0.27
241,0.30
242,0.32
243,0.34
244,0.37
245,0.37
246,0.25
247,0.06
248,-0.02
249,-0.09
250,-0.20
251,-0.33
252,-0.47
253,-0.63
254,-0.83
255,-1.00
256,-1.55
257,-2.13
258,-2.32
259,-2.42
260,-2.51
261,-2.60
262,-2.76
263,-2.96
264,-3.40
265,-3.59
266,-3.64
267,-3.66
268,-3.73
269,-3.81
270,-3.87
271,-3.96
272,-4.02
273,-4.02
274,-3.71
275,-3.28
276,-2.87
277,-2.57
278,-2.38
279,-2.30
280,-2.46
281,-2.75
282,-2.90
283,-2.95
284,-2.97
285,-3.04
286,-3.20
287,-3.28
288,-3.59
289,-3.74
290,-3.71
291,-3.76
292,-3.92
293,-4.09
294,-4.09
295,-4.18
296,-4.26
297,-4.37
298,-4.22
299,-3.91
300,-3.35
301,-3.26
302,-2.86
303,-2.88
304,-3.19
305,-3.65
306,-3.90
307,-4.07
308,-4.22
309,-4.35
310,-4.45
311,-4.48
312,-4.48
313,-4.37
314,-4.12
315,-3.91
316,-3.76
317,-3.66
318,-3.58
319,-3.50
320,-3.46
321,-3.37
322,-2.85
323,-2.23
324,-1.77
325,-1.49
326,-1.38
327,-1.44
328,-1.86
329,-2.40
330,-2.80
331,-3.11
332,-3.40
333,-3.69
334,-4.00
335,-4.40
336,-4.89
337,-5.27
338,-5.68
339,-6.31
340,-6.83
341,-7.03
342,-7.17
343,-7.28
344,-7.38
345,-7.30
346,-6.50
347,-5.14
348,-3.78
349,-2.50
350,-1.72
351,-1.54
352,-1.72
353,-2.27
354,-2.55
355,-2.53
356,-2.55
357,-2.79
358,-3.14
359,-3.20
360,-3.20
361,-3.23
362,-3.24
363,-3.13
364,-3.00
365,-2.93
366,-2.90
367,-2.88
368,-2.90
369,-2.88
370,-2.63
371,-2.41
372,-2.18
373,-1.98
374,-1.92
375,-1.95
376,-2.12
377,-2.33
378,-2.38
379,-2.44
380,-2.56
381,-2.78
382,-3.11
383,-3.48
384,-3.84
385,-4.18
386,-4.43
387,-4.63
388,-4.78
389,-4.91
390,-5.05
391,-5.21
392,-5.39
393,-5.48
394,-5.24
395,-4.90
396,-4.55
397,-4.29
398,-4.20
399,-4.35
400,-4.70
401,-5.20
402,-5.47
403,-5.66
404,-5.82
405,-5.97
406,-6.14
407,-6.27
408,-6.39
409,-6.46
410,-6.50
411,-6.54
412,-6.63
413,-7.14
414,-7.41
415,-7.67
416,-7.67
417,-7.49
418,-6.86
