RE,chp,state,city,fuel,technology,capacity_n,capacity_g,chp_capaci
DE01,no,Berlin,Berlin,Oil,Gas turbine,51.0,0.0,0.0
DE01,no,Brandenburg,Ahrensfelde,Natural gas,Gas turbine,150.0,152.0,0.0
DE01,no,Brandenburg,Bertikow,Biomass and biogas,Steam turbine,20.0,0.0,0.0
DE01,no,Brandenburg,Brandenburg,Natural gas,Combined cycle,160.0,207.0,0.0
DE01,no,Brandenburg,Heiligengrabe,Biomass and biogas,Steam turbine,18.6,0.0,0.0
DE01,no,Brandenburg,K?nigs Wusterhausen,Biomass and biogas,Steam turbine,17.1,0.0,0.0
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,296.0,300.0,0.0
DE01,no,Brandenburg,PCK Schwedt,Oil,Steam turbine,93.5,105.27000000000001,0.0
DE01,no,Brandenburg,Premnitz,Waste,Steam turbine,2.5,0.0,0.0
DE01,no,Brandenburg,R?dersdorf bei Berlin,Waste,Steam turbine,30.0,0.0,0.0
DE01,yes,Berlin,Berlin,Biomass and biogas,Steam turbine,16.5,0.0,0.0
DE01,yes,Berlin,Berlin,Hard coal,Steam turbine,777.0,832.0,1106.0
DE01,yes,Berlin,Berlin,Lignite,Steam turbine,164.0,188.0,1010.0
DE01,yes,Berlin,Berlin,Natural gas,Combined cycle,444.0,468.0,1210.0
DE01,yes,Berlin,Berlin,Natural gas,Gas turbine,211.0,214.0,300.0
DE01,yes,Berlin,Berlin,Natural gas,Steam turbine,432.0,450.0,720.0
DE01,yes,Berlin,Berlin,Oil,Steam turbine,276.0,280.0,330.0
DE01,yes,Berlin,Berlin,Waste,Steam turbine,36.0,0.0,0.0
DE01,yes,Brandenburg,Baruth/Mark,Biomass and biogas,Steam turbine,16.0,0.0,0.0
DE01,yes,Brandenburg,Eisenh?ttenstadt,Other fossil fuels,Steam turbine,124.5,116.0,0.0
DE01,yes,Brandenburg,Frankfurt Oder,Lignite,Steam turbine,45.0,0.0,0.0
DE01,yes,Brandenburg,PCK Schwedt,Oil,Steam turbine,240.0,270.23,0.0
