RE,chp,state,city,fuel,technology,id,capacity_n,capacity_g,chp_capaci,efficiency,Efficien_2
DE01,no,Berlin,Berlin,Oil,Gas turbine,BNA0085b,51.0,0.0,0.0,0.0,0.3
DE01,no,Brandenburg,Ahrensfelde,Natural gas,Gas turbine,BNA0005,37.5,38.0,0.0,0.31,0.35
DE01,no,Brandenburg,Ahrensfelde,Natural gas,Gas turbine,BNA0006,37.5,38.0,0.0,0.31,0.35
DE01,no,Brandenburg,Ahrensfelde,Natural gas,Gas turbine,BNA0007,37.5,38.0,0.0,0.31,0.35
DE01,no,Brandenburg,Ahrensfelde,Natural gas,Gas turbine,BNA0008,37.5,38.0,0.0,0.31,0.35
DE01,no,Brandenburg,Bertikow,Biomass and biogas,Steam turbine,BNA0090,20.0,0.0,0.0,0.0,0.38
DE01,no,Brandenburg,Brandenburg,Natural gas,Combined cycle,BNA0130,160.0,207.0,0.0,0.0,0.51
DE01,no,Brandenburg,Heiligengrabe,Biomass and biogas,Steam turbine,BNA1398,18.6,0.0,0.0,0.0,0.38
DE01,no,Brandenburg,K?nigs Wusterhausen,Biomass and biogas,Steam turbine,BNA0549,17.1,0.0,0.0,0.0,0.38
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,BNA0734,37.5,38.0,0.0,0.0,0.35
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,BNA0735,37.5,38.0,0.0,0.0,0.35
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,BNA0736,37.5,38.0,0.0,0.0,0.35
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,BNA0737,37.5,38.0,0.0,0.0,0.35
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,BNA0738,36.5,37.0,0.0,0.0,0.35
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,BNA0739,36.5,37.0,0.0,0.0,0.35
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,BNA0740,36.5,37.0,0.0,0.0,0.35
DE01,no,Brandenburg,Nunsdorf,Natural gas,Gas turbine,BNA0741,36.5,37.0,0.0,0.0,0.35
DE01,no,Brandenburg,PCK Schwedt,Oil,Steam turbine,BNA0894b,34.5,38.84,0.0,0.0,0.38
DE01,no,Brandenburg,PCK Schwedt,Oil,Steam turbine,BNA0894e,59.0,66.43,0.0,0.0,0.4
DE01,no,Brandenburg,Premnitz,Waste,Steam turbine,BNA1232,2.5,0.0,0.0,0.0,0.33
DE01,no,Brandenburg,R?dersdorf bei Berlin,Waste,Steam turbine,BNA0855,30.0,0.0,0.0,0.0,0.33
DE01,yes,Berlin,Berlin,Biomass and biogas,Steam turbine,BNA0068,16.5,0.0,0.0,0.0,0.38
DE01,yes,Berlin,Berlin,Hard coal,Steam turbine,BNA0082,124.0,132.0,244.0,0.0,0.35
DE01,yes,Berlin,Berlin,Hard coal,Steam turbine,BNA0085a,89.0,100.0,136.0,0.0,0.4
DE01,yes,Berlin,Berlin,Hard coal,Steam turbine,BNA0086,282.0,300.0,363.0,0.4,0.39
DE01,yes,Berlin,Berlin,Hard coal,Steam turbine,BNA0087,282.0,300.0,363.0,0.4,0.4
DE01,yes,Berlin,Berlin,Lignite,Steam turbine,BNA0081,164.0,188.0,1010.0,0.0,0.36
DE01,yes,Berlin,Berlin,Natural gas,Combined cycle,BNA0073,444.0,468.0,1210.0,0.49,0.52
DE01,yes,Berlin,Berlin,Natural gas,Gas turbine,BNA0074,211.0,214.0,300.0,0.0,0.38
DE01,yes,Berlin,Berlin,Natural gas,Steam turbine,BNA0075,144.0,150.0,240.0,0.0,0.38
DE01,yes,Berlin,Berlin,Natural gas,Steam turbine,BNA0076,144.0,150.0,240.0,0.0,0.38
DE01,yes,Berlin,Berlin,Natural gas,Steam turbine,BNA0080,144.0,150.0,240.0,0.0,0.38
DE01,yes,Berlin,Berlin,Oil,Steam turbine,BNA0083,276.0,280.0,330.0,0.0,0.36
DE01,yes,Berlin,Berlin,Waste,Steam turbine,BNA0084,36.0,0.0,0.0,0.0,0.33
DE01,yes,Brandenburg,Baruth/Mark,Biomass and biogas,Steam turbine,BNA0055,16.0,0.0,0.0,0.0,0.38
DE01,yes,Brandenburg,Eisenh?ttenstadt,Other fossil fuels,Steam turbine,BNA0237,23.5,0.0,0.0,0.0,0.33
DE01,yes,Brandenburg,Eisenh?ttenstadt,Other fossil fuels,Steam turbine,BNA0238a,45.0,51.68,0.0,0.0,0.33
DE01,yes,Brandenburg,Eisenh?ttenstadt,Other fossil fuels,Steam turbine,BNA0238b,56.0,64.32,0.0,0.0,0.33
DE01,yes,Brandenburg,Frankfurt Oder,Lignite,Steam turbine,BNA0284,45.0,0.0,0.0,0.4,0.39
DE01,yes,Brandenburg,PCK Schwedt,Oil,Steam turbine,BNA0894a,28.0,31.53,0.0,0.0,0.35
DE01,yes,Brandenburg,PCK Schwedt,Oil,Steam turbine,BNA0894c,106.0,119.35,0.0,0.0,0.38
DE01,yes,Brandenburg,PCK Schwedt,Oil,Steam turbine,BNA0894d,106.0,119.35,0.0,0.0,0.38
DE01,yes,Brandenburg,Potsdam,Natural gas,Steam turbine,BNA0814,81.8,0.0,0.0,0.0,0.38
DE01,yes,Brandenburg,Premnitz,Waste,Steam turbine,BNA1233,14.5,0.0,0.0,0.0,0.33
DE01,yes,Brandenburg,Schwedt,Biomass and biogas,Steam turbine,BNA1256,13.3,0.0,0.0,0.0,0.38
DE01,yes,Brandenburg,Schwedt,Waste,Steam turbine,BNA1255,28.9,0.0,0.0,0.0,0.33
DE01,yes,Mecklenburg-Vorpommern,Anklam,Natural gas,Steam turbine,BNA0025,15.1,0.0,0.0,0.0,0.38
DE01,yes,Mecklenburg-Vorpommern,Greifswald,Natural gas,Gas turbine,BNA0360,14.7,0.0,0.0,0.0,0.37
DE01,yes,Mecklenburg-Vorpommern,Krackow,Biomass and biogas,Steam turbine,BNA1522,17.8,0.0,0.0,0.0,0.38
DE01,yes,Mecklenburg-Vorpommern,Lubmin,Natural gas,Steam turbine,BNA1531,37.7,0.0,0.0,0.39,0.4
