,Wasserkraft,Wasserkraft,Windenergie an Land,Windenergie an Land,Windenergie auf See,Windenergie auf See,Photovoltaik,Photovoltaik,biogene Festbrennstoffe,biogene Festbrennstoffe,biogene flüssige Brennstoffe,biogene flüssige Brennstoffe,Biogas und Biomethan,Biogas und Biomethan,Klärgas,Klärgas,Deponiegas,Deponiegas,biogener Anteil des Abfalls,biogener Anteil des Abfalls,Geothermie,Geothermie,Summe,Summe
,capacity,energy,capacity,energy,capacity,energy,capacity,energy,capacity,energy,capacity,energy,capacity,energy,capacity,energy,capacity,energy,capacity,energy,capacity,energy,capacity,energy
1990,3982.0,17426.0,55.0,71.0,0.0,0.0,2.0,1.0,64.0,4.0,0.0,0.0,1.0,1.0,5.0,29.0,59.0,188.0,550.0,1213.0,0.0,0.0,4718.0,18933.0
1991,4033.0,14891.0,106.0,100.0,0.0,0.0,2.0,1.0,64.0,9.0,0.0,0.0,2.0,2.0,5.0,25.0,64.0,224.0,550.0,1211.0,0.0,0.0,4826.0,16463.0
1992,4049.0,17397.0,174.0,275.0,0.0,0.0,6.0,4.0,65.0,14.0,0.0,0.0,2.0,3.0,4.0,20.0,68.0,259.0,550.0,1262.0,0.0,0.0,4918.0,19234.0
1993,4117.0,17878.0,326.0,600.0,0.0,0.0,9.0,3.0,72.0,32.0,0.0,0.0,3.0,4.0,4.0,24.0,95.0,372.0,564.0,1203.0,0.0,0.0,5190.0,20116.0
1994,4211.0,19930.0,618.0,909.0,0.0,0.0,12.0,7.0,80.0,51.0,0.0,0.0,4.0,6.0,5.0,27.0,119.0,485.0,499.0,1306.0,0.0,0.0,5548.0,22721.0
1995,4348.0,21780.0,1121.0,1500.0,0.0,0.0,18.0,7.0,80.0,85.0,0.0,0.0,9.0,18.0,6.0,34.0,132.0,525.0,509.0,1348.0,0.0,0.0,6223.0,25297.0
1996,4305.0,21957.0,1549.0,2032.0,0.0,0.0,28.0,12.0,93.0,118.0,0.0,0.0,15.0,31.0,8.0,41.0,145.0,565.0,551.0,1343.0,0.0,0.0,6694.0,26099.0
1997,4296.0,17357.0,2089.0,2966.0,0.0,0.0,42.0,18.0,115.0,179.0,0.0,0.0,19.0,44.0,9.0,48.0,158.0,605.0,527.0,1397.0,0.0,0.0,7255.0,22614.0
1998,4369.0,17216.0,2877.0,4489.0,0.0,0.0,54.0,35.0,135.0,210.0,0.0,0.0,43.0,118.0,115.0,633.0,168.0,677.0,540.0,1618.0,0.0,0.0,8301.0,24996.0
1999,4547.0,19647.0,4435.0,5528.0,0.0,0.0,70.0,30.0,194.0,246.0,0.0,0.0,49.0,145.0,132.0,727.0,173.0,727.0,555.0,1740.0,0.0,0.0,10155.0,28790.0
2000,4831.0,21732.0,6097.0,9513.0,0.0,0.0,114.0,60.0,304.0,925.0,0.0,0.0,78.0,445.0,128.0,705.0,193.0,812.0,585.0,1844.0,0.0,0.0,12330.0,36036.0
2001,4831.0,22733.0,8738.0,10509.0,0.0,0.0,176.0,76.0,384.0,1112.0,5.0,15.0,111.0,745.0,134.0,735.0,193.0,748.0,585.0,1859.0,0.0,0.0,15157.0,38532.0
2002,4937.0,23124.0,11976.0,15786.0,0.0,0.0,296.0,162.0,523.0,1485.0,6.0,20.0,160.0,1046.0,141.0,777.0,200.0,771.0,585.0,1949.0,0.0,0.0,18824.0,45120.0
2003,4953.0,17722.0,14593.0,18713.0,0.0,0.0,435.0,313.0,859.0,3285.0,18.0,52.0,190.0,1518.0,149.0,955.0,212.0,793.0,902.0,2238.0,0.0,0.0,22311.0,45589.0
2004,5186.0,20095.0,16612.0,25509.0,0.0,0.0,1105.0,557.0,102.0,4997.0,21.0,136.0,249.0,1111.0,157.0,986.0,240.0,988.0,943.0,2253.0,0.0,0.2,24615.0,56632.0
2005,5210.0,19638.0,18375.0,27229.0,0.0,0.0,2056.0,1282.0,1218.0,7126.0,60.0,116.0,665.0,1696.0,161.0,1096.0,248.0,1068.0,1174.0,3252.0,0.0,0.2,29167.0,62503.0
2006,5193.0,20008.0,20568.0,30710.0,0.0,0.0,2899.0,2220.0,1411.0,8579.0,177.0,719.0,1000.0,3346.0,170.0,1057.0,252.0,1092.0,1273.0,3907.0,0.0,0.4,32943.0,71638.0
2007,5137.0,21170.0,22183.0,39713.0,0.0,0.0,4170.0,3075.0,1524.0,8436.0,295.0,948.0,1242.0,8406.0,177.0,1033.0,257.0,1009.0,1228.0,4531.0,2.0,0.4,36215.0,88321.0
2008,5164.0,20443.0,23815.0,40574.0,0.0,0.0,6120.0,4420.0,1663.0,9074.0,341.0,1088.0,1455.0,11001.0,186.0,1094.0,272.0,864.0,1351.0,4671.0,2.0,18.0,40369.0,93247.0
2009,5340.0,19031.0,25632.0,38610.0,30.0,38.0,10566.0,6583.0,1843.0,9488.0,345.0,1745.0,1910.0,13103.0,192.0,1131.0,268.0,788.0,1441.0,4323.0,5.0,19.0,47572.0,94859.0
2010,5407.0,20953.0,27012.0,37619.0,80.0,174.0,17944.0,11729.0,1913.0,10768.0,333.0,1362.0,2395.0,15554.0,200.0,1203.0,245.0,674.0,1526.0,4746.0,5.0,28.0,57060.0,104810.0
2011,5625.0,17671.0,28857.0,48315.0,188.0,568.0,25429.0,19599.0,1966.0,11296.0,304.0,363.0,3025.0,19281.0,233.0,1280.0,243.0,628.0,1486.0,4755.0,5.0,19.0,67361.0,123775.0
2012,5607.0,22091.0,30996.0,49948.0,268.0,722.0,33033.0,26380.0,2018.0,12090.0,250.0,350.0,3450.0,25390.0,236.0,1314.0,225.0,538.0,1429.0,4951.0,18.0,25.0,77530.0,143799.0
2013,5590.0,22998.0,33763.0,50803.0,508.0,905.0,36337.0,31010.0,2057.0,11643.0,250.0,279.0,3750.0,27479.0,240.0,1308.0,220.0,474.0,186.0,5415.0,24.0,80.0,82925.0,152394.0
2014,5580.0,19587.0,38156.0,55908.0,1037.0,1449.0,38343.0,36056.0,2074.0,11868.0,195.0,365.0,4244.0,29341.0,245.0,1336.0,211.0,435.0,1888.0,6069.0,24.0,98.0,91997.0,162512.0
2015,5588.0,19320.0,41735.0,79272.0,3283.0,8703.0,39698.0,38432.0,2075.0,11950.0,195.0,385.0,4343.0,30110.0,245.0,1390.0,209.0,390.0,1905.0,5800.0,24.0,130.0,99300.0,195882.0
