,Land,Region,UnterRegion/Netzart,,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DE,,,,,,,,### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
,DE,GL,,,R_,B_,_ur,_ur,Source,R_DEGL_ur,R_DEGL_ur,B_DEGL_ur,,,,,,,,5.96,,,,,,,,,
,DE,GL,,,R_,B_,_li,_li,Source,R_DEGL_li,R_DEGL_li,B_DEGL_li,,,,,,,,27.59,,,,,,,,,
,DE,GL,,,R_,B_,_hc,_hc,Source,R_DEGL_hc,R_DEGL_hc,B_DEGL_hc,,,,,,,,45.87,,,,,,,,,
,DE,GL,,,R_,B_,_gas,_gas,Source,R_DEGL_gas,R_DEGL_gas,B_DEGL_gas,,,,,,,,54.05,,,,,,,,,
,DE,GL,,,R_,B_,_oil,_oil,Source,R_DEGL_oil,R_DEGL_oil,B_DEGL_oil,,,,,,,,86.87,,,,,,,,,
,DE,GL,,,R_,B_,_mf,_mf,Source,R_DEGL_mf,R_DEGL_mf,B_DEGL_mf,,,,,,,,27.25,,,,,,,,,
,DE,GL,,,R_,B_,_bm,_bm,Source,R_DEGL_bm,R_DEGL_bm,B_DEGL_bm,,,,,,,,27.73,,,,,,,,,
Konvertergas,DE,GL,,,R_,B_,_cg,_cg,Source,R_DEGL_cg,R_DEGL_cg,B_DEGL_cg,,,,,,,,0.00,,,,,,,,,
Abfall (waste),DE,GL,,,R_,B_,_w,_w,Source,R_DEGL_w,R_DEGL_w,B_DEGL_w,,,,,,,,0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hier keine seq,nur zum test",DE,NI,,,LD_,B_,_el,_el,Sink,LD_DENI_el,B_DENI_el,LD_DENI_el,,,,,,,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_0_1_kwk_gas_ind,,,,,,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_1,GD_,B_,_gas,_gas,LinearTransformer,GD_DENI_1_gas,B_DEGL_gas,GD_DENI_1_gas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_1,GD_,B_,_gas,_el,LinearTransformer,GD_DENI_1_gas,GD_DENI_1_gas,B_DENI_el,0.43,693.500,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_1,GD_,B_,_gas,_th,LinearTransformer,GD_DENI_1_gas,GD_DENI_1_gas,B_DENI_1_th,0.42,683.470,,,,,,,,,,,,,,,
,,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_1,HPP_,B_,_th,_th,LinearTransformer,HPP_DENI_1_th,B_DENI_1_th,HPP_DENI_1_th,,,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_1,HPP_,B_,_th,_ind,LinearTransformer,HPP_DENI_1_th,HPP_DENI_1_th,B_DENI_ind,1.00,683.470,,,,,,,,,,,,,,,
HPP_gas,DE,NI,,_1,HPP_,B_,_th,_hhg,LinearTransformer,HPP_DENI_1_th,HPP_DENI_1_th,B_DENI_hhg,0.00,0.000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_0_2_kwk_gas_hhg,,,,,,,,,,,,,,,,,,,,
