class,Sink,Sink,Sink,Source,Source,Sink,Sink,Sink,Sink
label,LD_DE150_hhg,LD_DE150_ind,LD_DE15_el,EE_DE15_wind,EE_DE15_solar,LD_DErestNI_hhg,LD_DErestNI_ind,LD_DErestNRW_hhg,LD_DErestNRW_ind
source,B_DE150_hhg,B_DE150_ind,B_DE15_el,EE_DE15_wind,EE_DE15_solar,B_DErestNI_hhg,B_DErestNI_ind,B_DErestNRW_hhg,B_DErestNRW_ind
target,LD_DE150_hhg,LD_DE150_ind,LD_DE15_el,B_DE15_el,B_DE15_el,LD_DErestNI_hhg,LD_DErestNI_ind,LD_DErestNRW_hhg,LD_DErestNRW_ind
attribute,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value
2050-01-01 00:00:00+00:00,0.776,9.073,0.626,0.169,0.000,0.787,8.571,0.726,11.520
2050-01-01 01:00:00+00:00,0.796,9.073,0.605,0.165,0.000,0.806,8.571,0.745,11.520
2050-01-01 02:00:00+00:00,0.838,9.073,0.579,0.172,0.000,0.848,8.571,0.788,11.520
2050-01-01 03:00:00+00:00,0.938,9.073,0.556,0.186,0.000,0.949,8.571,0.886,11.520
2050-01-01 04:00:00+00:00,1.133,9.073,0.543,0.205,0.000,1.145,8.571,1.073,11.520
2050-01-01 05:00:00+00:00,1.442,9.073,0.522,0.203,0.000,1.463,8.571,1.342,11.520
2050-01-01 06:00:00+00:00,1.610,9.073,0.485,0.179,0.000,1.643,8.571,1.447,11.520
2050-01-01 07:00:00+00:00,1.540,9.073,0.485,0.146,0.000,1.570,8.571,1.392,11.520
2050-01-01 08:00:00+00:00,1.482,9.073,0.493,0.113,0.000,1.510,8.571,1.346,11.520
2050-01-01 09:00:00+00:00,1.427,10.282,0.524,0.101,0.150,1.453,9.714,1.298,13.056
2050-01-01 10:00:00+00:00,1.378,10.282,0.559,0.122,0.275,1.403,9.714,1.258,13.056
2050-01-01 11:00:00+00:00,1.325,10.282,0.599,0.176,0.364,1.349,9.714,1.210,13.056
2050-01-01 12:00:00+00:00,1.301,10.282,0.614,0.180,0.427,1.324,9.714,1.189,13.056
2050-01-01 13:00:00+00:00,1.306,10.282,0.605,0.149,0.431,1.329,9.714,1.194,13.056
2050-01-01 14:00:00+00:00,1.325,10.282,0.599,0.112,0.280,1.348,9.714,1.210,13.056
2050-01-01 15:00:00+00:00,1.343,10.282,0.598,0.120,0.069,1.367,9.714,1.222,13.056
2050-01-01 16:00:00+00:00,1.411,10.282,0.618,0.164,0.000,1.437,9.714,1.284,13.056
2050-01-01 17:00:00+00:00,1.456,10.282,0.672,0.228,0.000,1.484,9.714,1.324,13.056
2050-01-01 18:00:00+00:00,1.467,10.282,0.683,0.294,0.000,1.495,9.714,1.333,13.056
2050-01-01 19:00:00+00:00,1.465,10.282,0.672,0.311,0.000,1.492,9.714,1.331,13.056
2050-01-01 20:00:00+00:00,1.417,10.282,0.648,0.305,0.000,1.443,9.714,1.291,13.056
2050-01-01 21:00:00+00:00,1.267,10.282,0.639,0.340,0.000,1.289,9.714,1.157,13.056
2050-01-01 22:00:00+00:00,1.030,10.282,0.647,0.406,0.000,1.042,9.714,0.969,13.056
2050-01-01 23:00:00+00:00,0.832,9.073,0.615,0.474,0.000,0.842,8.571,0.781,11.520
2050-01-02 00:00:00+00:00,0.827,9.677,0.575,0.551,0.000,0.837,9.143,0.779,12.288
2050-01-02 01:00:00+00:00,0.858,9.677,0.546,0.638,0.000,0.868,9.143,0.811,12.288
2050-01-02 02:00:00+00:00,0.888,9.677,0.530,0.708,0.000,0.897,9.143,0.840,12.288
2050-01-02 03:00:00+00:00,0.961,9.677,0.520,0.786,0.000,0.971,9.143,0.910,12.288
2050-01-02 04:00:00+00:00,1.167,9.677,0.516,0.841,0.000,1.179,9.143,1.108,12.288
2050-01-02 05:00:00+00:00,1.592,9.677,0.502,0.858,0.000,1.610,9.143,1.501,12.288
2050-01-02 06:00:00+00:00,1.794,9.677,0.477,0.831,0.000,1.826,9.143,1.640,12.288
2050-01-02 07:00:00+00:00,1.715,9.677,0.494,0.789,0.000,1.743,9.143,1.577,12.288
2050-01-02 08:00:00+00:00,1.652,9.677,0.526,0.727,0.000,1.678,9.143,1.525,12.288
2050-01-02 09:00:00+00:00,1.587,12.097,0.576,0.629,0.003,1.611,11.428,1.467,15.360
2050-01-02 10:00:00+00:00,1.517,12.097,0.615,0.461,0.022,1.540,11.428,1.405,15.360
2050-01-02 11:00:00+00:00,1.460,12.097,0.656,0.421,0.036,1.482,11.428,1.352,15.360
2050-01-02 12:00:00+00:00,1.434,12.097,0.658,0.320,0.022,1.455,11.428,1.329,15.360
2050-01-02 13:00:00+00:00,1.426,12.097,0.632,0.204,0.012,1.447,11.428,1.321,15.360
2050-01-02 14:00:00+00:00,1.442,12.097,0.614,0.151,0.004,1.464,11.428,1.333,15.360
2050-01-02 15:00:00+00:00,1.468,12.097,0.610,0.144,0.000,1.492,11.428,1.354,15.360
2050-01-02 16:00:00+00:00,1.518,12.097,0.636,0.140,0.000,1.543,11.428,1.396,15.360
2050-01-02 17:00:00+00:00,1.555,12.097,0.699,0.113,0.000,1.582,11.428,1.425,15.360
2050-01-02 18:00:00+00:00,1.566,12.097,0.712,0.082,0.000,1.593,11.428,1.435,15.360
2050-01-02 19:00:00+00:00,1.559,12.097,0.696,0.099,0.000,1.586,11.428,1.428,15.360
2050-01-02 20:00:00+00:00,1.497,12.097,0.664,0.125,0.000,1.523,11.428,1.373,15.360
2050-01-02 21:00:00+00:00,1.338,12.097,0.658,0.126,0.000,1.360,11.428,1.230,15.360
2050-01-02 22:00:00+00:00,1.075,12.097,0.670,0.108,0.000,1.087,11.428,1.015,15.360
2050-01-02 23:00:00+00:00,0.880,9.677,0.644,0.092,0.000,0.890,9.143,0.833,12.288
2050-01-03 00:00:00+00:00,0.728,9.677,0.605,0.112,0.000,0.735,9.143,0.694,12.288
2050-01-03 01:00:00+00:00,0.756,9.677,0.579,0.116,0.000,0.763,9.143,0.722,12.288
2050-01-03 02:00:00+00:00,0.782,9.677,0.564,0.140,0.000,0.789,9.143,0.748,12.288
2050-01-03 03:00:00+00:00,0.847,9.677,0.560,0.146,0.000,0.854,9.143,0.810,12.288
2050-01-03 04:00:00+00:00,1.028,9.677,0.574,0.146,0.000,1.037,9.143,0.987,12.288
2050-01-03 05:00:00+00:00,1.402,9.677,0.606,0.179,0.000,1.415,9.143,1.336,12.288
2050-01-03 06:00:00+00:00,1.577,9.677,0.675,0.244,0.000,1.602,9.143,1.458,12.288
2050-01-03 07:00:00+00:00,1.509,9.677,0.766,0.301,0.000,1.530,9.143,1.402,12.288
2050-01-03 08:00:00+00:00,1.453,9.677,0.819,0.335,0.000,1.473,9.143,1.356,12.288
2050-01-03 09:00:00+00:00,1.396,12.097,0.844,0.357,0.016,1.415,11.428,1.305,15.360
2050-01-03 10:00:00+00:00,1.335,12.097,0.866,0.397,0.033,1.352,11.428,1.249,15.360
2050-01-03 11:00:00+00:00,1.285,12.097,0.877,0.409,0.036,1.302,11.428,1.203,15.360
2050-01-03 12:00:00+00:00,1.261,12.097,0.880,0.400,0.037,1.278,11.428,1.181,15.360
2050-01-03 13:00:00+00:00,1.254,12.097,0.868,0.395,0.021,1.271,11.428,1.174,15.360
2050-01-03 14:00:00+00:00,1.268,12.097,0.855,0.410,0.005,1.285,11.428,1.185,15.360
2050-01-03 15:00:00+00:00,1.292,12.097,0.847,0.373,0.000,1.310,11.428,1.204,15.360
2050-01-03 16:00:00+00:00,1.335,12.097,0.858,0.337,0.000,1.354,11.428,1.240,15.360
2050-01-03 17:00:00+00:00,1.367,12.097,0.904,0.324,0.000,1.388,11.428,1.267,15.360
2050-01-03 18:00:00+00:00,1.377,12.097,0.901,0.372,0.000,1.397,11.428,1.275,15.360
2050-01-03 19:00:00+00:00,1.371,12.097,0.878,0.453,0.000,1.392,11.428,1.269,15.360
2050-01-03 20:00:00+00:00,1.316,12.097,0.840,0.631,0.000,1.336,11.428,1.220,15.360
2050-01-03 21:00:00+00:00,1.177,12.097,0.808,0.723,0.000,1.194,11.428,1.094,15.360
2050-01-03 22:00:00+00:00,0.946,12.097,0.797,0.676,0.000,0.955,11.428,0.904,15.360
2050-01-03 23:00:00+00:00,0.776,9.677,0.740,0.679,0.000,0.783,9.143,0.741,12.288
2050-01-04 00:00:00+00:00,0.534,9.677,0.704,0.767,0.000,0.538,9.143,0.515,12.288
2050-01-04 01:00:00+00:00,0.568,9.677,0.674,0.899,0.000,0.572,9.143,0.549,12.288
2050-01-04 02:00:00+00:00,0.580,9.677,0.655,0.890,0.000,0.585,9.143,0.557,12.288
2050-01-04 03:00:00+00:00,0.655,9.677,0.647,0.753,0.000,0.661,9.143,0.626,12.288
2050-01-04 04:00:00+00:00,0.838,9.677,0.654,0.550,0.000,0.847,9.143,0.798,12.288
2050-01-04 05:00:00+00:00,1.185,9.677,0.674,0.340,0.000,1.198,9.143,1.120,12.288
2050-01-04 06:00:00+00:00,1.351,9.677,0.730,0.206,0.000,1.374,9.143,1.243,12.288
2050-01-04 07:00:00+00:00,1.299,9.677,0.810,0.176,0.000,1.318,9.143,1.202,12.288
2050-01-04 08:00:00+00:00,1.210,9.677,0.850,0.182,0.000,1.227,9.143,1.127,12.288
2050-01-04 09:00:00+00:00,1.126,12.097,0.876,0.134,0.140,1.141,11.428,1.051,15.360
2050-01-04 10:00:00+00:00,1.059,12.097,0.885,0.099,0.225,1.072,11.428,0.992,15.360
2050-01-04 11:00:00+00:00,1.012,12.097,0.893,0.109,0.253,1.025,11.428,0.949,15.360
2050-01-04 12:00:00+00:00,0.990,12.097,0.894,0.175,0.259,1.003,11.428,0.927,15.360
2050-01-04 13:00:00+00:00,0.980,12.097,0.881,0.205,0.197,0.993,11.428,0.917,15.360
2050-01-04 14:00:00+00:00,0.988,12.097,0.864,0.198,0.086,1.002,11.428,0.920,15.360
2050-01-04 15:00:00+00:00,1.013,12.097,0.858,0.155,0.019,1.028,11.428,0.940,15.360
