class,Sink,Source,Source,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink,Sink
label,LD_DE15_el,EE_DE15_wind,EE_DE15_solar,LD_DE150_hhg,LD_DE150_ind,LD_DE15_01_hhg,LD_DE15_01_ind,LD_DE15_02_hhg,LD_DE15_02_ind,LD_DE15_03_hhg,LD_DE15_03_ind,LD_DE15_04_hhg,LD_DE15_04_ind,LD_DE15_05_hhg,LD_DE15_05_ind,LD_DErestNI_hhg,LD_DErestNI_ind,LD_DErestNRW_hhg,LD_DErestNRW_ind
source,B_DE15_el,EE_DE15_wind,EE_DE15_solar,B_DE150_hhg,B_DE150_ind,B_DE15_01_hhg,B_DE15_01_ind,B_DE15_02_hhg,B_DE15_02_ind,B_DE15_03_hhg,B_DE15_03_ind,B_DE15_04_hhg,B_DE15_04_ind,B_DE15_05_hhg,B_DE15_05_ind,B_DErestNI_hhg,B_DErestNI_ind,B_DErestNRW_hhg,B_DErestNRW_ind
target,LD_DE15_el,B_DE15_el,B_DE15_el,LD_DE150_hhg,LD_DE150_ind,LD_DE15_01_hhg,LD_DE15_01_ind,LD_DE15_02_hhg,LD_DE15_02_ind,LD_DE15_03_hhg,LD_DE15_03_ind,LD_DE15_04_hhg,LD_DE15_04_ind,LD_DE15_05_hhg,LD_DE15_05_ind,LD_DErestNI_hhg,LD_DErestNI_ind,LD_DErestNRW_hhg,LD_DErestNRW_ind
attribute,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value,actual_value
2050-01-01 00:00:00+00:00,0.626,0.169,0.000,0.776,9.073,0.776,9.073,0.776,9.073,0.776,9.073,0.776,9.073,0.776,9.073,0.787,8.571,0.726,11.520
2050-01-01 01:00:00+00:00,0.605,0.165,0.000,0.796,9.073,0.796,9.073,0.796,9.073,0.796,9.073,0.796,9.073,0.796,9.073,0.806,8.571,0.745,11.520
2050-01-01 02:00:00+00:00,0.579,0.172,0.000,0.838,9.073,0.838,9.073,0.838,9.073,0.838,9.073,0.838,9.073,0.838,9.073,0.848,8.571,0.788,11.520
2050-01-01 03:00:00+00:00,0.556,0.186,0.000,0.938,9.073,0.938,9.073,0.938,9.073,0.938,9.073,0.938,9.073,0.938,9.073,0.949,8.571,0.886,11.520
2050-01-01 04:00:00+00:00,0.543,0.205,0.000,1.133,9.073,1.133,9.073,1.133,9.073,1.133,9.073,1.133,9.073,1.133,9.073,1.145,8.571,1.073,11.520
2050-01-01 05:00:00+00:00,0.522,0.203,0.000,1.442,9.073,1.442,9.073,1.442,9.073,1.442,9.073,1.442,9.073,1.442,9.073,1.463,8.571,1.342,11.520
