,Land,Region,UnterRegion/Netzart,Nr.Netz,Komponentenart,,K.Spezifikation,B./Spezifikationen,class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,DE,,,,,,,,### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
,DE,GL,,,R_,B_,_hc,_hc,Source,R_DEGL_hc,R_DEGL_hc,B_DEGL_hc,,,,,,,,45.87,,,,,,,,,
,DE,GL,,,R_,B_,_gas,_gas,Source,R_DEGL_gas,R_DEGL_gas,B_DEGL_gas,,,,,,,,54.05,,,,,,,,,
,DE,GL,,,R_,B_,_hc,_hc_gas,Source,R_DEGL_hc,R_DEGL_hc,B_DEGL_hc_gas,,62.00,,,,,,45.87,,,,,,,,,
,DE,GL,,,R_,B_,_gas,_hc_gas,Source,R_DEGL_gas,R_DEGL_gas,B_DEGL_hc_gas,,124.00,,,,,,54.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,###DE15_3_Braunschweig_dhg_HPPek_1_: HKW_Mitte_DT_EK_und_GuD,,,,,,,,,,,,,,,,,,,,
"BNA0135_0138, Braunschweig",DE,15,3,_dhg,HPP1_ek,B_,_hc_gas,_hc_gas,LinearTransformer,HPP1_ekDE153_dhg_hc_gas,B_DEGL_hc_gas,HPP1_ekDE153_dhg_hc_gas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNA0135_0138, Braunschweig",DE,15,3,_dhg,HPP1_ek,B_,_hc_gas,_el,LinearTransformer,HPP1_ekDE153_dhg_hc_gas,HPP1_ekDE153_dhg_hc_gas,B_DE15_dhg_el,0.42,78.00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNA0135_0138, Braunschweig",DE,15,3,_dhg,HPP1_ek,B_,_hc_gas,_hc_gas_th,LinearTransformer,HPP1_ekDE153_dhg_hc_gas,HPP1_ekDE153_dhg_hc_gas,B_DE153_dhg_hc_gas_th,0.48,170.00,,,,,,,,,,,,,,,
"BNA0135_0138, Braunschweig",DE,15,3,_dhg,Cex_1_,B_,_hc_gas,_hc_gas_th,Sink,Cex_1_DE153_dhg_hc_gas,B_DE153_dhg_hc_gas_th,Cex_1_DE153_dhg_hc_gas,,,,170.00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BNA0135_0138, Braunschweig",DE,15,3,_dhg,HPP1_ek,B_,_hc_gas_th,_hc_gas_th,LinearTransformer,HPP1_ekDE153_dhg_hc_gas_th,B_DE153_dhg_hc_gas_th,HPP1_ekDE153_dhg_hc_gas_th,,,,,,,,,,,,,,,,,
