class,Sink,Sink,Sink,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer,LinearTransformer
label,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
source,B_DE153_dhg_hhg,B_DE153_dhg_ind,B_DE15_dhg_el,HPPek_1_DE152_dhg_gas,HPPek_1_DE152_dhg_gas,HPPek_2_DE152_dhg_hc,HPPek_2_DE152_dhg_hc,HPPek_3_DE152_dhg_gas,HPPek_3_DE152_dhg_gas
target,LD_DE153_dhg_hhg,LD_DE153_dhg_ind,LD_DE15_dhg_el,B_DE152_dhg_el,B_DE152_dhg_gas_th,B_DE152_dhg_el,B_DE152_dhg_hc_th,B_DE152_dhg_el,B_DE152_dhg_gas_th
attribute,actual_value,actual_value,actual_value,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors,conversion_factors
2050-01-01 00:00:00+00:00,1,0.6256754458,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 01:00:00+00:00,1,0.6045845272,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 02:00:00+00:00,1,0.5787703942,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 03:00:00+00:00,1,0.5560832646,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 04:00:00+00:00,1,0.5426986432,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 05:00:00+00:00,1,0.5223404116,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 06:00:00+00:00,1,0.4848032866,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 07:00:00+00:00,1,0.4850780442,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 08:00:00+00:00,1,0.4931768523,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 09:00:00+00:00,1,0.5236880323,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 10:00:00+00:00,1,0.5594196072,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 11:00:00+00:00,1,0.5987099475,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 12:00:00+00:00,1,0.6135861103,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 13:00:00+00:00,1,0.6054742186,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 14:00:00+00:00,1,0.598906203,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 15:00:00+00:00,1,0.5976894192,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 16:00:00+00:00,1,0.6184663291,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 17:00:00+00:00,1,0.6724627442,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 18:00:00+00:00,1,0.682511023,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 19:00:00+00:00,1,0.6717562246,1,0.55,0.26,0.4,0.48,0.38,0.42
2050-01-01 20:00:00+00:00,1,0.6481139852,1,0.55,0.26,0.4,0.48,0.38,0.42
