class,Sink,Sink
label,LD_DE151_hhg,LD_DE151_ind
source,B_DE151_hhg,B_DE151_ind
target,LD_DE151_hhg,LD_DE151_ind
attribute,actual_value,actual_value
2050-01-01 00:00:00+00:00,0.886,9.11
2050-01-01 01:00:00+00:00,0.908,9.11
2050-01-01 02:00:00+00:00,0.955,9.11
2050-01-01 03:00:00+00:00,1.067,9.11
2050-01-01 04:00:00+00:00,1.288,9.11
2050-01-01 05:00:00+00:00,1.647,9.11
2050-01-01 06:00:00+00:00,1.854,9.11
2050-01-01 07:00:00+00:00,1.771,9.11
2050-01-01 08:00:00+00:00,1.703,11.39
2050-01-01 09:00:00+00:00,1.638,11.39
2050-01-01 10:00:00+00:00,1.581,11.39
2050-01-01 11:00:00+00:00,1.520,11.39
2050-01-01 12:00:00+00:00,1.493,11.39
2050-01-01 13:00:00+00:00,1.497,11.39
2050-01-01 14:00:00+00:00,1.520,11.39
2050-01-01 15:00:00+00:00,1.541,11.39
2050-01-01 16:00:00+00:00,1.620,11.39
2050-01-01 17:00:00+00:00,1.673,11.39
2050-01-01 18:00:00+00:00,1.685,11.39
2050-01-01 19:00:00+00:00,1.682,11.39
2050-01-01 20:00:00+00:00,1.626,11.39
2050-01-01 21:00:00+00:00,1.453,11.39
2050-01-01 22:00:00+00:00,1.173,11.39
2050-01-01 23:00:00+00:00,0.948,9.11
2050-01-02 00:00:00+00:00,0.914,9.11
2050-01-02 01:00:00+00:00,0.948,9.11
2050-01-02 02:00:00+00:00,0.980,9.11
2050-01-02 03:00:00+00:00,1.061,9.11
2050-01-02 04:00:00+00:00,1.287,9.11
2050-01-02 05:00:00+00:00,1.759,9.11
2050-01-02 06:00:00+00:00,1.998,9.11
2050-01-02 07:00:00+00:00,1.907,9.11
2050-01-02 08:00:00+00:00,1.835,11.39
2050-01-02 09:00:00+00:00,1.762,11.39
2050-01-02 10:00:00+00:00,1.684,11.39
2050-01-02 11:00:00+00:00,1.621,11.39
2050-01-02 12:00:00+00:00,1.591,11.39
2050-01-02 13:00:00+00:00,1.582,11.39
2050-01-02 14:00:00+00:00,1.601,11.39
2050-01-02 15:00:00+00:00,1.632,11.39
2050-01-02 16:00:00+00:00,1.688,11.39
2050-01-02 17:00:00+00:00,1.730,11.39
2050-01-02 18:00:00+00:00,1.742,11.39
2050-01-02 19:00:00+00:00,1.735,11.39
2050-01-02 20:00:00+00:00,1.666,11.39
2050-01-02 21:00:00+00:00,1.488,11.39
2050-01-02 22:00:00+00:00,1.187,11.39
2050-01-02 23:00:00+00:00,0.972,9.11
2050-01-03 00:00:00+00:00,0.919,9.11
2050-01-03 01:00:00+00:00,0.953,9.11
2050-01-03 02:00:00+00:00,0.986,9.11
2050-01-03 03:00:00+00:00,1.067,9.11
2050-01-03 04:00:00+00:00,1.295,9.11
2050-01-03 05:00:00+00:00,1.768,9.11
2050-01-03 06:00:00+00:00,2.008,9.11
2050-01-03 07:00:00+00:00,1.917,9.11
2050-01-03 08:00:00+00:00,1.844,11.39
2050-01-03 09:00:00+00:00,1.771,11.39
2050-01-03 10:00:00+00:00,1.692,11.39
2050-01-03 11:00:00+00:00,1.629,11.39
2050-01-03 12:00:00+00:00,1.599,11.39
2050-01-03 13:00:00+00:00,1.590,11.39
2050-01-03 14:00:00+00:00,1.609,11.39
2050-01-03 15:00:00+00:00,1.640,11.39
2050-01-03 16:00:00+00:00,1.696,11.39
2050-01-03 17:00:00+00:00,1.739,11.39
2050-01-03 18:00:00+00:00,1.751,11.39
2050-01-03 19:00:00+00:00,1.744,11.39
2050-01-03 20:00:00+00:00,1.673,11.39
2050-01-03 21:00:00+00:00,1.495,11.39
2050-01-03 22:00:00+00:00,1.193,11.39
2050-01-03 23:00:00+00:00,0.977,9.11
2050-01-04 00:00:00+00:00,0.782,9.11
2050-01-04 01:00:00+00:00,0.813,9.11
2050-01-04 02:00:00+00:00,0.835,9.11
2050-01-04 03:00:00+00:00,0.903,9.11
2050-01-04 04:00:00+00:00,1.097,9.11
2050-01-04 05:00:00+00:00,1.518,9.11
2050-01-04 06:00:00+00:00,1.722,9.11
2050-01-04 07:00:00+00:00,1.642,9.11
2050-01-04 08:00:00+00:00,1.579,11.39
2050-01-04 09:00:00+00:00,1.518,11.39
2050-01-04 10:00:00+00:00,1.451,11.39
2050-01-04 11:00:00+00:00,1.394,11.39
2050-01-04 12:00:00+00:00,1.367,11.39
2050-01-04 13:00:00+00:00,1.359,11.39
2050-01-04 14:00:00+00:00,1.375,11.39
2050-01-04 15:00:00+00:00,1.400,11.39
2050-01-04 16:00:00+00:00,1.450,11.39
2050-01-04 17:00:00+00:00,1.489,11.39
2050-01-04 18:00:00+00:00,1.501,11.39
2050-01-04 19:00:00+00:00,1.492,11.39
2050-01-04 20:00:00+00:00,1.434,11.39
2050-01-04 21:00:00+00:00,1.282,11.39
2050-01-04 22:00:00+00:00,1.021,11.39
2050-01-04 23:00:00+00:00,0.834,9.11
2050-01-05 00:00:00+00:00,0.697,8.54
2050-01-05 01:00:00+00:00,0.727,8.54
2050-01-05 02:00:00+00:00,0.750,8.54
2050-01-05 03:00:00+00:00,0.812,8.54
2050-01-05 04:00:00+00:00,0.988,8.54
2050-01-05 05:00:00+00:00,1.369,8.54
2050-01-05 06:00:00+00:00,1.534,8.54
2050-01-05 07:00:00+00:00,1.462,8.54
2050-01-05 08:00:00+00:00,1.401,9.68
2050-01-05 09:00:00+00:00,1.349,9.68
2050-01-05 10:00:00+00:00,1.298,9.68
2050-01-05 11:00:00+00:00,1.241,9.68
2050-01-05 12:00:00+00:00,1.210,9.68
2050-01-05 13:00:00+00:00,1.203,9.68
2050-01-05 14:00:00+00:00,1.218,9.68
2050-01-05 15:00:00+00:00,1.246,9.68
2050-01-05 16:00:00+00:00,1.299,9.68
2050-01-05 17:00:00+00:00,1.337,9.68
2050-01-05 18:00:00+00:00,1.345,9.68
2050-01-05 19:00:00+00:00,1.336,9.68
2050-01-05 20:00:00+00:00,1.297,9.68
2050-01-05 21:00:00+00:00,1.161,9.68
2050-01-05 22:00:00+00:00,0.927,9.68
2050-01-05 23:00:00+00:00,0.759,8.54
2050-01-06 00:00:00+00:00,0.750,7.97
2050-01-06 01:00:00+00:00,0.769,7.97
2050-01-06 02:00:00+00:00,0.809,7.97
2050-01-06 03:00:00+00:00,0.905,7.97
2050-01-06 04:00:00+00:00,1.092,7.97
2050-01-06 05:00:00+00:00,1.395,7.97
2050-01-06 06:00:00+00:00,1.567,7.97
2050-01-06 07:00:00+00:00,1.497,7.97
2050-01-06 08:00:00+00:00,1.440,9.11
2050-01-06 09:00:00+00:00,1.385,9.11
2050-01-06 10:00:00+00:00,1.337,9.11
2050-01-06 11:00:00+00:00,1.286,9.11
2050-01-06 12:00:00+00:00,1.263,9.11
2050-01-06 13:00:00+00:00,1.267,9.11
2050-01-06 14:00:00+00:00,1.286,9.11
2050-01-06 15:00:00+00:00,1.304,9.11
2050-01-06 16:00:00+00:00,1.370,9.11
2050-01-06 17:00:00+00:00,1.415,9.11
2050-01-06 18:00:00+00:00,1.425,9.11
2050-01-06 19:00:00+00:00,1.423,9.11
2050-01-06 20:00:00+00:00,1.376,9.11
2050-01-06 21:00:00+00:00,1.229,9.11
2050-01-06 22:00:00+00:00,0.994,9.11
2050-01-06 23:00:00+00:00,0.803,9.11
2050-01-07 00:00:00+00:00,0.744,9.11
2050-01-07 01:00:00+00:00,0.772,9.11
2050-01-07 02:00:00+00:00,0.802,9.11
2050-01-07 03:00:00+00:00,0.868,9.11
2050-01-07 04:00:00+00:00,1.054,9.11
2050-01-07 05:00:00+00:00,1.438,9.11
2050-01-07 06:00:00+00:00,1.622,9.11
2050-01-07 07:00:00+00:00,1.549,9.11
2050-01-07 08:00:00+00:00,1.492,11.39
2050-01-07 09:00:00+00:00,1.435,11.39
2050-01-07 10:00:00+00:00,1.373,11.39
2050-01-07 11:00:00+00:00,1.318,11.39
2050-01-07 12:00:00+00:00,1.297,11.39
2050-01-07 13:00:00+00:00,1.290,11.39
2050-01-07 14:00:00+00:00,1.305,11.39
2050-01-07 15:00:00+00:00,1.327,11.39
2050-01-07 16:00:00+00:00,1.382,11.39
2050-01-07 17:00:00+00:00,1.420,11.39
2050-01-07 18:00:00+00:00,1.430,11.39
2050-01-07 19:00:00+00:00,1.414,11.39
